img_path,question,true_answer,predicted_answer
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ac5f3c69.jpg,What is the material of the bed's top?,mesh,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/c54700ba.jpg,What material does it resemble?,cloth,plaid
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f1da77c5.jpg,What is the main object on the case?,boat,boat
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ea7127fb.jpg,What shape is the case?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/698f3492.jpg,What is the main color of the case?,green,green
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2cb66bf7.jpg,What is the main color of the rice?,brown,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5553e960.jpg,What is the case material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/deaa8b1b.jpg,What is the container made of?,plastic,glass
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a7faa76c.jpg,What is the pillow's shape?,square,square
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ef2fbebd.jpg,What animal is depicted?,lion,lion
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f06ff421.jpg,What is the main subject of the phone case design?,train,train
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/376006bd.jpg,What is the case material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3500b49e.jpg,What is the main color scheme of the phone case?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/124c8df5.jpg,What is the background color of the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9d4d7f51.jpg,What's the background color?,green,green
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ce9f056b.jpg,What color is the background?,beige,beige
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6a192fbf.jpg,What is the main color scheme of the case?,multicolor,multicolor
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/cbee2a1d.jpg,What's the main text on the case?,girl,girl
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f69b641c.jpg,What is the shape of the package?,pouch,pouch
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ac07855d.jpg,What color is the background?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/120f1f01.jpg,What is the main color of the phone case?,purple,purple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/91c01d21.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0e127556.jpg,What is the primary color on the case?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/cb930563.jpg,What is the item?,sheet,mattress
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/58975757.jpg,What is the main color of the design?,orange,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7d5412f2.jpg,What color is the cap?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ed651785.jpg,What material is the case?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/bc530c1d.jpg,What shapes are repeatedly shown?,hearts,hearts
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1c3be333.jpg,What color is the case?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b4d0046f.jpg,What color is the background?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0259500f.jpg,What's on the woman's head?,hat,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4fdc5672.jpg,What color are the keys?,white,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/425a17ba.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/28bfac8d.jpg,What is the puppy sitting on?,grass,grass
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/360906e5.jpg,What is the color of the nipples?,clear,clear
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/76d901b7.jpg,What color are the hearts?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/74383ddf.jpg,What is the main design element?,couple,couple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d1f51045.jpg,What is the main item shown?,hat,hat
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/662b754d.jpg,What color is the teddy bear?,brown,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3e938e58.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6ff838e7.jpg,What is the table's material?,teak,wood
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4001a571.jpg,What is the background color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/51ffa8fe.jpg,What is the case made of?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d25b6e39.jpg,What color is the main body of the shoe?,grey,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/17104b4f.jpg,What is the hat's main color?,burgundy,burgundy
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/10d506e4.jpg,What is the overall texture of the design?,paint,rough
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/fdd4d11f.jpg,What is the main texture depicted?,glitter,glitter
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1ed58606.jpg,What's the backrest design?,wisteria,wood
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/33d4b6e1.jpg,What is the main design on the case?,wood,wood
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b109b73d.jpg,What is the primary color on the label?,orange,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/25b9c547.jpg,What is the shape of the central design element?,circle,circle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5c0372cd.jpg,What is the color of the sconce?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/93ce33ea.jpg,What is the rug's shape?,rectangular,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/96979efa.jpg,What is the main color on the case?,orange,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/928c36e1.jpg,What is the primary color of the glasses?,clear,clear
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/eb9c8347.jpg,What is the material of the case?,silicon,silicon
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0e2afc35.jpg,What is the case's pattern?,solid,solid
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/a5622933.jpg,What is the shape of the oven gloves?,mitt,mittens
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0dc8c13c.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/54e131a8.jpg,What is the main color on the left?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2df89586.jpg,What is the main color of the flowers?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f08c0319.jpg,What color is the carrying bag?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7c9903b6.jpg,What is the shape of the can?,cylinder,can
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d9027638.jpg,What shape are many of the paint splatter marks?,streaks,circles
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/14f27121.jpg,What number is depicted?,six,six
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b87c9237.jpg,What color is the ottoman?,caramel,brown
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/328fb337.jpg,What color is the moon?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6a744f93.jpg,What is the case made of?,silicon,silicon
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3ca16779.jpg,What is the main material?,plastic,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/52a1a003.jpg,What is the material of the mugs?,glass,glass
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1ddba5a7.jpg,What is the shape of the earring?,flower,flower
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f985e7ad.jpg,What shape is the tree?,heart,round
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e93710cf.jpg,What material appears to be the diffuser?,glass,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/20c5e1cb.jpg,What fruit is on the case?,orange,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/51cf37ee.jpg,What is the main color at the bottom?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/10b303d6.jpg,What color is the pattern?,gold,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e94a56f1.jpg,What is the shape of the tabletop?,rectangular,rectangular
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/23d9d4bc.jpg,What is the primary color on the case?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/51bf8d8b.jpg,What is the case's design pattern?,blocks,stacked
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/31ea45b5.jpg,What is the main color of the background?,yellow,beige
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/8165d305.jpg,What color is the heel?,beige,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b11cab00.jpg,What is the main label color?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/55d61cd1.jpg,What type of clasp does it have?,spring,snap
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e20b60ee.jpg,What is the shape of the back?,curved,square
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7d127720.jpg,What is the primary landscape feature?,lake,mountain
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/bee43ec4.jpg,What color is the bottle?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/cf0b91cc.jpg,What is the main design element on the case?,dandelions,dandelions
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0952161d.jpg,What is the rug's shape?,rectangle,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5015b3a0.jpg,What is the case's primary color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/66e22143.jpg,What is the dominant feature of the background?,mountains,mountain
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/abdb3ece.jpg,What color dominates the left side?,pink,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/eac17d40.jpg,What material is the backrest primarily made of?,mesh,fabric
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b3d82b8c.jpg,What is the color of the sandals?,peach,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f1e29018.jpg,What color is the cap?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/47b5aa63.jpg,What is the dominant shoe color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2b4103c2.jpg,What is the main color of the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/70d7b57e.jpg,What material forms the number?,chain,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/98da4042.jpg,What is the shape of the packaging?,bag,bag
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9638bd32.jpg,What color are the designs on the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/72a9cc68.jpg,What material is the bumper?,tpu,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/43ca0cdb.jpg,What color is the hummingbird?,purple,purple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/047efb13.jpg,What is the swatch's color?,chalk,grey
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b0555962.jpg,What is the finish of the handleset?,bronze,matte
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/26b6e445.jpg,What animal is depicted?,duck,duck
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/91f021d2.jpg,What is the predominant background color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ff700d3b.jpg,What color is the design?,white,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f44d5971.jpg,What is the closure type?,laceup,lace
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f63d0691.jpg,What material are the legs?,metal,metal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/123ed60b.jpg,What shape is featured on the case?,hearts,hearts
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2ddf47a5.jpg,What color is the girl's dress?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/40499062.jpg,What is the roast type of the coffee?,full,roasting
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/322962f8.jpg,What material is the container made of?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/17ecf15c.jpg,What shape is the central design element?,heart,heart
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0ab305e6.jpg,What is the main image on the phone case?,kitten,cat
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3e551a59.jpg,What color is the heart?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1b80bacb.jpg,What is the shape of the napkin rod?,square,rectangular
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0e854deb.jpg,What is the material of the case?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/46e6909e.jpg,What is the case's material?,plastic,wood
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/c69d6f92.jpg,What color are the cushions?,grey,grey
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b145cc96.jpg,What color is the ottoman?,linen,beige
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/f9e3bf23.jpg,What is the main color of the case's background?,green,green
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/fabf1292.jpg,What fruit is depicted on the case?,orange,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/e8cf0f26.jpg,What color is the dog's tongue?,pink,pink
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/10e10aa5.jpg,What is the bed's headboard style?,tufted,diamond
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/cd50f8d0.jpg,What is the color of the powder inside?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7eae3f5c.jpg,What shape is prominently displayed?,rainbow,rainbow
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/8c6fad75.jpg,What is the overall shape?,gloves,cylinder
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0bfef8d0.jpg,What material is the case?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/bd5b8cce.jpg,What shapes are scattered across the case?,planets,planets
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/72f1ea15.jpg,What is the primary color of the case?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/b3fc020f.jpg,What color is the skull?,white,white
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/036d4d50.jpg,What is the bracelet's metal?,gold,gold
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4537b3c4.jpg,What is the brand name?,365,walmart
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4fc6a5e0.jpg,What type of device is shown on the stand?,laptop,laptop
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/4e41ee21.jpg,What is the main design on the phone case?,libra,libra
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3cf6afe4.jpg,What is the main color of the background?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/5f3550eb.jpg,What shape is the main image?,box,rectangle
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/de16493d.jpg,What is the shape of the case?,rectangular,rectangular
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/0aa7e911.jpg,What is the case material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/3c2d1fe5.jpg,What animal is depicted?,shark,owl
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/328b1c59.jpg,What color are the roses?,red,red
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2a1975fe.jpg,What is the main color of Buddha?,brown,orange
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/2dc62962.jpg,What is the blanket's primary color?,eggplant,purple
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7e9a3b18.jpg,What is the primary color of the design?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/da4ba4cb.jpg,What is the main design element?,flower,flower
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7527c365.jpg,What is the primary color of the background?,blue,blue
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/1f3ce8c4.jpg,What is the case's material?,plastic,plastic
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/7f0da4fa.jpg,What is the design style on the other half?,floral,geometric
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/45303c5d.jpg,What is the dominant color of the case?,brown,beige
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/ca179048.jpg,What is the dominant color of the phone case?,blue,teal
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/6107491d.jpg,What color are the shoes?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/d8e35855.jpg,What is the color?,black,black
/kaggle/input/dataset-curated-with-split/Sf/Sf_images/9d4de8a9.jpg,What is the primary ingredient?,pecans,cocoa
